company_name,categories,main_category
Gander,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",Software y Servicios B2B
Scrapybara,"Other, Software",Software y Servicios B2B
Osmosis AI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",Software y Servicios B2B
Brainbase,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Other, Science and Engineering, Software",Software y Servicios B2B
Onlook,"Information Technology, Internet Services, Other",Software y Servicios B2B
Paratus Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",Software y Servicios B2B
Kura,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",Software y Servicios B2B
Hestus,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",Software y Servicios B2B
Ligo Biosciences,"Biotechnology, Data and Analytics, Science and Engineering",Software y Servicios B2B
CrowdVolt,"Commerce and Shopping, Internet Services, Media and Entertainment",Consumo
CollectWise,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",Finanzas
Remo,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Science and Engineering, Software",Software y Servicios B2B
Abundant,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",Software y Servicios B2B
Tergle,"Other, Professional Services, Software",Software y Servicios B2B
Surge,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software",Software y Servicios B2B
Moreta,"Financial Services, Mobile, Payments, Software",Finanzas
Blume Benefits,"Financial Services, Other",Finanzas
Raycaster,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Sales and Marketing, Science and Engineering, Software",Software y Servicios B2B
Woz,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Mercura,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",Software y Servicios B2B
Soff,"Manufacturing, Other, Transportation",Industria
Hazel,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Sales and Marketing, Science and Engineering, Software",Software y Servicios B2B
Saphira AI,"Hardware, Professional Services, Software",Software y Servicios B2B
ZeroEntropy,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Clearly AI,"Artificial Intelligence (AI), Data and Analytics, Privacy and Security, Science and Engineering, Software",Software y Servicios B2B
Miru,"Hardware, Internet Services, Science and Engineering, Software",Software y Servicios B2B
Ember Copilot,"Health Care, Information Technology, Software",Software y Servicios B2B
Thyme,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",Finanzas
Enhanced Radar,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software, Transportation",Software y Servicios B2B
Leeroo,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
ArchiLabs,"Artificial Intelligence (AI), Data and Analytics, Other, Real Estate, Science and Engineering, Software",Bienes Raíces y Construcción
Friday,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Science and Engineering, Software",Software y Servicios B2B
Tivara,"Artificial Intelligence (AI), Data and Analytics, Health Care, Other, Science and Engineering, Software",Software y Servicios B2B
Kairo Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",Software y Servicios B2B
Outlit,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",Software y Servicios B2B
Cekura,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
RetroFix AI,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",Finanzas
Vendra,"Hardware, Manufacturing, Other, Science and Engineering, Software",Industria
Pearson Labs,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",Software y Servicios B2B
assistant-ui,"Apps, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Sepal AI,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software",Educación
Bindwell,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Educato AI,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software",Educación
Dodo,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",Software y Servicios B2B
Encore,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Other, Professional Services, Science and Engineering, Software",Software y Servicios B2B
Exa Laboratories,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",Software y Servicios B2B
Scout,"Education, Software",Educación
Sensei Robotics,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",Software y Servicios B2B
Innate,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",Software y Servicios B2B
Outerport,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
1849 Bio,"Biotechnology, Natural Resources, Science and Engineering",Salud
Mosaic,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software, Video",Software y Servicios B2B
Basepilot,"Information Technology, Internet Services",Software y Servicios B2B
AminoAnalytica,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Durate,"Health Care, Information Technology, Other, Software",Software y Servicios B2B
YouShift,"Health Care, Software",Software y Servicios B2B
Parity,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",Software y Servicios B2B
Revise Robotics,"Artificial Intelligence (AI), Consumer Electronics, Hardware, Manufacturing, Science and Engineering, Software",Industria
Void,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Metreecs,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Science and Engineering, Software",Software y Servicios B2B
Bild AI,"Hardware, Information Technology, Internet Services, Real Estate, Software",Bienes Raíces y Construcción
Freestyle,"Apps, Science and Engineering, Software",Software y Servicios B2B
MathDash,"Education, Gaming, Other, Software",Educación
Lumina_1,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",Software y Servicios B2B
Dexter,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Benchify,"Data and Analytics, Information Technology, Software",Software y Servicios B2B
Ångström AI,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Reprompt,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Manufacturing, Other, Science and Engineering, Software",Industria
Midship,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",Software y Servicios B2B
Ergo,"Artificial Intelligence (AI), Data and Analytics, Other, Sales and Marketing, Science and Engineering, Software",Software y Servicios B2B
Protegee,"Financial Services, Information Technology, Payments, Professional Services",Finanzas
Canvas AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Riviera,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Travel and Tourism",Software y Servicios B2B
Dollyglot,"Artificial Intelligence (AI), Information Technology, Media and Entertainment, Video",Software y Servicios B2B
Vora AI,"Administrative Services, Artificial Intelligence (AI), Other",Software y Servicios B2B
Codes Health,Health Care,Salud
Closure,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",Software y Servicios B2B
Seals,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",Software y Servicios B2B
RiskCube,"Financial Services, Other, Software",Finanzas
Waypoint Transit,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software, Transportation",Bienes Raíces y Construcción
Remade,"Artificial Intelligence (AI), Media and Entertainment, Other, Sales and Marketing, Software",Software y Servicios B2B
Delineate,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Felafax AI,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Other, Science and Engineering, Software",Software y Servicios B2B
Promptless,"Artificial Intelligence (AI), Software",Software y Servicios B2B
Laminar,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",Software y Servicios B2B
Fabricate,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Other, Science and Engineering, Software",Industria
Asteroid,"Artificial Intelligence (AI), Software",Software y Servicios B2B
Fresco,"Information Technology, Real Estate, Software",Bienes Raíces y Construcción
Karmen,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software",Bienes Raíces y Construcción
Guardian AI,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",Software y Servicios B2B
Syntra,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",Software y Servicios B2B
Cenote,"Artificial Intelligence (AI), Data and Analytics, Hardware, Health Care, Other, Science and Engineering, Software",Software y Servicios B2B
Ultra.tech,"Hardware, Information Technology, Science and Engineering, Software, Transportation",Software y Servicios B2B
Bramble,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software",Bienes Raíces y Construcción
Vovana,"Other, Professional Services, Software",Software y Servicios B2B
Platus,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",Software y Servicios B2B
Reticular,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Software y Servicios B2B
Lucite,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",Finanzas
Rewbi,"Artificial Intelligence (AI), Data and Analytics, Energy, Science and Engineering, Software, Sustainability",Software y Servicios B2B
General Agency,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",Industria
Truffle AI,"Artificial Intelligence (AI), Other, Software",Software y Servicios B2B
Permitify,"Artificial Intelligence (AI), Real Estate, Software",Bienes Raíces y Construcción
Exin Therapeutics,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Software y Servicios B2B
Stack Auth,"Consumer Electronics, Data and Analytics, Hardware, Software",Software y Servicios B2B
Bucket Robotics,"Hardware, Manufacturing, Science and Engineering, Software",Industria
Tiny,Software,Software y Servicios B2B
Synth AI,"Artificial Intelligence (AI), Data and Analytics, Hardware, Other, Science and Engineering, Software",Software y Servicios B2B
Finosu,"Financial Services, Other",Finanzas
TradeFlow,"Financial Services, Other, Software",Finanzas
Comfy Deploy,"Artificial Intelligence (AI), Software",Software y Servicios B2B
Weave,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",Software y Servicios B2B
RowBoat Labs,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Olive Legal,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",Finanzas
Stamp,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Software y Servicios B2B
Camfer,"Artificial Intelligence (AI), Design, Hardware, Software",Software y Servicios B2B
Haplotype Labs,"Health Care, Software",Software y Servicios B2B
