company_name,categories,main_category
CozmoX AI (YC W22),"Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Real Estate, Science and Engineering, Software",Real Estate and Construction
CopyCat,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Agentin AI,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",B2B Software and Services
HYBRD,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software, Sports",B2B Software and Services
Pickle_1,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
SRE.ai,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Ryvn,"Information Technology, Internet Services, Software",B2B Software and Services
Spott,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",B2B Software and Services
Astrix Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software, Transportation",B2B Software and Services
Alex,"Apps, Mobile, Platforms, Software",Unspecified
Devdraft,"Blockchain and Cryptocurrency, Financial Services, Internet Services, Other",Financial
Intryc,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Software",B2B Software and Services
Bluebook,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Professional Services, Science and Engineering, Software",Financial
Hey Revia,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Arva AI,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software",Financial
FirstWork,"Administrative Services, Health Care, Information Technology, Professional Services, Transportation",B2B Software and Services
Cuckoo,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Rastro,"Commerce and Shopping, Design, Other, Real Estate",Real Estate and Construction
Standard Data,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",B2B Software and Services
Weel,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",B2B Software and Services
Invoke Labs,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Fortress,"Data and Analytics, Information Technology, Software",B2B Software and Services
Vera Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Other, Science and Engineering, Software",B2B Software and Services
Zeit AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Mindely,"Administrative Services, Artificial Intelligence (AI), Professional Services, Software",B2B Software and Services
RunLocal AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Saldor,"Data and Analytics, Hardware, Internet Services, Software",B2B Software and Services
The Forecasting Company,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",B2B Software and Services
Kastle,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Real Estate, Science and Engineering, Software",Real Estate and Construction
Abel Police,"Government and Military, Information Technology, Privacy and Security",B2B Software and Services
Gauge,"Artificial Intelligence (AI), Information Technology, Internet Services, Sales and Marketing, Software",B2B Software and Services
BlindPay,"Financial Services, Payments, Software",Financial
Simple AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Linkup,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",B2B Software and Services
Sorcerer,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Navigation and Mapping, Science and Engineering, Software",Industrials
Lilac Labs,"Artificial Intelligence (AI), Software",B2B Software and Services
Decisional AI,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",Financial
Agentic Labs,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Thunder Compute,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software",B2B Software and Services
DaLMatian,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Software",B2B Software and Services
GoldenBasis,Financial Services,Financial
Synnax,"Data and Analytics, Design, Information Technology, Software",B2B Software and Services
Toma,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",B2B Software and Services
David AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Helium,"Artificial Intelligence (AI), Data and Analytics, Other, Software",B2B Software and Services
Plume,"Artificial Intelligence (AI), Data and Analytics, Energy, Real Estate, Science and Engineering, Software, Sustainability",Real Estate and Construction
Spur,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Privacy and Security, Sales and Marketing, Science and Engineering, Software",B2B Software and Services
Henry,"Artificial Intelligence (AI), Real Estate, Software",Real Estate and Construction
Starcloud,"Science and Engineering, Transportation",Unspecified
Operand,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Clara,Health Care,Health Care
Alice tech,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Proception,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",B2B Software and Services
Arini,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",B2B Software and Services
Pulse_1,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Datacurve,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",B2B Software and Services
telli,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Sales and Marketing, Science and Engineering, Software",B2B Software and Services
RetailReady,"Apps, Software, Transportation",Unspecified
AthenaHQ,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Sales and Marketing, Science and Engineering, Software",B2B Software and Services
Gale,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Coval,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",B2B Software and Services
Pipeshift,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software",B2B Software and Services
Octolane AI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",B2B Software and Services
Taxo,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",B2B Software and Services
Focal_1,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Science and Engineering, Software",Financial
Bifrost Orbital,Hardware,B2B Software and Services
Just Words,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Sales and Marketing, Science and Engineering, Software",B2B Software and Services
Artificial Societies,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software",B2B Software and Services
Crustdata,Software,Unspecified
And AI,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",B2B Software and Services
Asha Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",B2B Software and Services
Giga ML,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",B2B Software and Services
Corgi,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",Financial
OpenFunnel,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",B2B Software and Services
Hamming AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
ClaimSorted,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Science and Engineering, Software",Financial
Sonnet,"Artificial Intelligence (AI), Data and Analytics, Health Care, Other, Professional Services, Sales and Marketing, Science and Engineering, Software",B2B Software and Services
K-Scale Labs,"Data and Analytics, Design, Hardware, Manufacturing, Science and Engineering, Software",Industrials
Theseus,"Consumer Electronics, Consumer Goods, Government and Military, Hardware, Information Technology, Navigation and Mapping, Software",B2B Software and Services
Mastra,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
OmniAI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",B2B Software and Services
Ocular AI,"Apps, Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Other, Science and Engineering, Software",B2B Software and Services
Polymet,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",B2B Software and Services
SimCare AI,"Artificial Intelligence (AI), Data and Analytics, Education, Health Care, Science and Engineering, Software",Education
Reforged Labs,"Advertising, Artificial Intelligence (AI), Data and Analytics, Gaming, Sales and Marketing, Science and Engineering, Software",B2B Software and Services
Axiom,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other",Financial
Kabilah,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",B2B Software and Services
Merlin AI,"Information Technology, Professional Services, Software",B2B Software and Services
PearAI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Parley,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",B2B Software and Services
Piramidal,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",B2B Software and Services
Tabular,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",Financial
Ares Industries,Manufacturing,Industrials
Parahelp,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",B2B Software and Services
Anthrogen,"Biotechnology, Science and Engineering, Sustainability",Unspecified
Weave Robotics,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",Industrials
Tile,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software",B2B Software and Services
Amber AI,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",B2B Software and Services
AfterQuery,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",B2B Software and Services
marblism,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
careCycle,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Hardware, Science and Engineering, Software",Financial
Guardian RF,"Consumer Electronics, Consumer Goods, Hardware, Manufacturing, Privacy and Security",Industrials
BiteSight,"Administrative Services, Food and Beverage, Software, Transportation",Unspecified
Harper,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",Financial
Inversion Semiconductor,"Hardware, Manufacturing, Science and Engineering",Industrials
FutureClinic,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",B2B Software and Services
Silurian AI,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",Financial
PAX Markets,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Financial Services, Science and Engineering, Software",Financial
Helpcare AI,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",B2B Software and Services
Optifye.ai,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software",B2B Software and Services
Sandra AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",B2B Software and Services
Variant,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
CommodityAI,"Financial Services, Lending and Investments, Other, Software, Transportation",Financial
Pax AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Lopus AI,"Artificial Intelligence (AI), Data and Analytics, Design, Internet Services, Media and Entertainment, Other, Sales and Marketing, Science and Engineering, Software",B2B Software and Services
FuseAI,"Artificial Intelligence (AI), Data and Analytics, Other, Sales and Marketing, Science and Engineering, Software",B2B Software and Services
Fira,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",Financial
Cekura AI,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",B2B Software and Services
Revyl,"Commerce and Shopping, Financial Services, Software",Financial
Vetnio,Health Care,Health Care
Mentra,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",B2B Software and Services
Gander,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",B2B Software and Services
Scrapybara,"Other, Software",Unspecified
Osmosis AI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",B2B Software and Services
Brainbase,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Other, Science and Engineering, Software",B2B Software and Services
Onlook,"Information Technology, Internet Services, Other",B2B Software and Services
Paratus Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",B2B Software and Services
Kura,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",B2B Software and Services
Hestus,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",B2B Software and Services
Ligo Biosciences,"Biotechnology, Data and Analytics, Science and Engineering",B2B Software and Services
CrowdVolt,"Commerce and Shopping, Internet Services, Media and Entertainment",Unspecified
CollectWise,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",Financial
Remo,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Science and Engineering, Software",B2B Software and Services
Abundant,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",B2B Software and Services
Tergle,"Other, Professional Services, Software",Unspecified
Surge,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software",B2B Software and Services
Moreta,"Financial Services, Mobile, Payments, Software",Financial
Blume Benefits,"Financial Services, Other",Financial
Raycaster,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Sales and Marketing, Science and Engineering, Software",B2B Software and Services
Woz,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Mercura,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",B2B Software and Services
Soff,"Manufacturing, Other, Transportation",Industrials
Hazel,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Sales and Marketing, Science and Engineering, Software",B2B Software and Services
Saphira AI,"Hardware, Professional Services, Software",B2B Software and Services
ZeroEntropy,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Clearly AI,"Artificial Intelligence (AI), Data and Analytics, Privacy and Security, Science and Engineering, Software",B2B Software and Services
Miru,"Hardware, Internet Services, Science and Engineering, Software",B2B Software and Services
Ember Copilot,"Health Care, Information Technology, Software",B2B Software and Services
Thyme,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",Financial
Enhanced Radar,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software, Transportation",B2B Software and Services
Leeroo,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
ArchiLabs,"Artificial Intelligence (AI), Data and Analytics, Other, Real Estate, Science and Engineering, Software",Real Estate and Construction
Friday,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Science and Engineering, Software",B2B Software and Services
Tivara,"Artificial Intelligence (AI), Data and Analytics, Health Care, Other, Science and Engineering, Software",B2B Software and Services
Kairo Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",B2B Software and Services
Outlit,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",B2B Software and Services
Cekura,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
RetroFix AI,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",Financial
Vendra,"Hardware, Manufacturing, Other, Science and Engineering, Software",Industrials
Pearson Labs,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",B2B Software and Services
assistant-ui,"Apps, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Sepal AI,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software",Education
Bindwell,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Educato AI,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software",Education
Dodo,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",B2B Software and Services
Encore,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Other, Professional Services, Science and Engineering, Software",B2B Software and Services
Exa Laboratories,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",B2B Software and Services
Scout,"Education, Software",Education
Sensei Robotics,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",B2B Software and Services
Innate,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",B2B Software and Services
Outerport,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
1849 Bio,"Biotechnology, Natural Resources, Science and Engineering",Unspecified
Mosaic,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software, Video",B2B Software and Services
Basepilot,"Information Technology, Internet Services",B2B Software and Services
AminoAnalytica,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Science and Engineering, Software",B2B Software and Services
Durate,"Health Care, Information Technology, Other, Software",B2B Software and Services
YouShift,"Health Care, Software",Health Care
Parity,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",B2B Software and Services
Revise Robotics,"Artificial Intelligence (AI), Consumer Electronics, Hardware, Manufacturing, Science and Engineering, Software",Industrials
Void,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Metreecs,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Science and Engineering, Software",B2B Software and Services
Bild AI,"Hardware, Information Technology, Internet Services, Real Estate, Software",Real Estate and Construction
Freestyle,"Apps, Science and Engineering, Software",Unspecified
MathDash,"Education, Gaming, Other, Software",Education
Lumina_1,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",B2B Software and Services
Dexter,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Benchify,"Data and Analytics, Information Technology, Software",B2B Software and Services
Ångström AI,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Science and Engineering, Software",B2B Software and Services
Reprompt,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Manufacturing, Other, Science and Engineering, Software",Industrials
Midship,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",B2B Software and Services
Ergo,"Artificial Intelligence (AI), Data and Analytics, Other, Sales and Marketing, Science and Engineering, Software",B2B Software and Services
Protegee,"Financial Services, Information Technology, Payments, Professional Services",Financial
Canvas AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Riviera,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Travel and Tourism",B2B Software and Services
Dollyglot,"Artificial Intelligence (AI), Information Technology, Media and Entertainment, Video",B2B Software and Services
Vora AI,"Administrative Services, Artificial Intelligence (AI), Other",B2B Software and Services
Codes Health,Health Care,Health Care
Closure,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",B2B Software and Services
Seals,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",B2B Software and Services
RiskCube,"Financial Services, Other, Software",Financial
Waypoint Transit,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software, Transportation",Real Estate and Construction
Remade,"Artificial Intelligence (AI), Media and Entertainment, Other, Sales and Marketing, Software",B2B Software and Services
Delineate,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Science and Engineering, Software",B2B Software and Services
Felafax AI,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Other, Science and Engineering, Software",B2B Software and Services
Promptless,"Artificial Intelligence (AI), Software",B2B Software and Services
Laminar,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",B2B Software and Services
Fabricate,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Other, Science and Engineering, Software",Industrials
Asteroid,"Artificial Intelligence (AI), Software",B2B Software and Services
Fresco,"Information Technology, Real Estate, Software",Real Estate and Construction
Karmen,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software",Real Estate and Construction
Guardian AI,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",B2B Software and Services
Syntra,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",B2B Software and Services
Cenote,"Artificial Intelligence (AI), Data and Analytics, Hardware, Health Care, Other, Science and Engineering, Software",B2B Software and Services
Ultra.tech,"Hardware, Information Technology, Science and Engineering, Software, Transportation",B2B Software and Services
Bramble,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software",Real Estate and Construction
Vovana,"Other, Professional Services, Software",Unspecified
Platus,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",B2B Software and Services
Reticular,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",B2B Software and Services
Lucite,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",Financial
Rewbi,"Artificial Intelligence (AI), Data and Analytics, Energy, Science and Engineering, Software, Sustainability",B2B Software and Services
General Agency,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",Industrials
Truffle AI,"Artificial Intelligence (AI), Other, Software",B2B Software and Services
Permitify,"Artificial Intelligence (AI), Real Estate, Software",Real Estate and Construction
Exin Therapeutics,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",B2B Software and Services
Stack Auth,"Consumer Electronics, Data and Analytics, Hardware, Software",B2B Software and Services
Bucket Robotics,"Hardware, Manufacturing, Science and Engineering, Software",Industrials
Tiny,Software,Unspecified
Synth AI,"Artificial Intelligence (AI), Data and Analytics, Hardware, Other, Science and Engineering, Software",B2B Software and Services
Finosu,"Financial Services, Other",Financial
TradeFlow,"Financial Services, Other, Software",Financial
Comfy Deploy,"Artificial Intelligence (AI), Software",B2B Software and Services
Weave,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",B2B Software and Services
RowBoat Labs,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Olive Legal,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",Financial
Stamp,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Camfer,"Artificial Intelligence (AI), Design, Hardware, Software",B2B Software and Services
Haplotype Labs,"Health Care, Software",Health Care
Sophris,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Other, Science and Engineering, Software",B2B Software and Services
Overstand Labs,"Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software",B2B Software and Services
Adam,"Artificial Intelligence (AI), Hardware, Software",B2B Software and Services
Manaflow,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",B2B Software and Services
Melder,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",B2B Software and Services
Palmier,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Stormy,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",B2B Software and Services
Focus Buddy,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",B2B Software and Services
Regatta Storage,"Data and Analytics, Internet Services, Other, Software",B2B Software and Services
Manifold Freight,Transportation,Unspecified
Propaya,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software",Real Estate and Construction
Forerunner,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software",Industrials
