company_name,categories
Astrix Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software, Transportation"
Alex,"Apps, Mobile, Platforms, Software"
Devdraft,"Blockchain and Cryptocurrency, Financial Services, Internet Services, Other"
Intryc,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Software"
Bluebook,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Professional Services, Science and Engineering, Software"
Hey Revia,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Arva AI,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software"
FirstWork,"Administrative Services, Health Care, Information Technology, Professional Services, Transportation"
Cuckoo,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Rastro,"Commerce and Shopping, Design, Other, Real Estate"
Standard Data,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software"
Weel,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software"
Invoke Labs,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Fortress,"Data and Analytics, Information Technology, Software"
Vera Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Other, Science and Engineering, Software"
Zeit AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Mindely,"Administrative Services, Artificial Intelligence (AI), Professional Services, Software"
RunLocal AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Saldor,"Data and Analytics, Hardware, Internet Services, Software"
The Forecasting Company,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Kastle,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Real Estate, Science and Engineering, Software"
Abel Police,"Government and Military, Information Technology, Privacy and Security"
Gauge,"Artificial Intelligence (AI), Information Technology, Internet Services, Sales and Marketing, Software"
BlindPay,"Financial Services, Payments, Software"
Simple AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Linkup,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software"
Sorcerer,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Navigation and Mapping, Science and Engineering, Software"
Lilac Labs,"Artificial Intelligence (AI), Software"
Decisional AI,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
Agentic Labs,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Thunder Compute,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software"
DaLMatian,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Software"
GoldenBasis,Financial Services
Synnax,"Data and Analytics, Design, Information Technology, Software"
Toma,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation"
David AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Helium,"Artificial Intelligence (AI), Data and Analytics, Other, Software"
Plume,"Artificial Intelligence (AI), Data and Analytics, Energy, Real Estate, Science and Engineering, Software, Sustainability"
Spur,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Privacy and Security, Sales and Marketing, Science and Engineering, Software"
Henry,"Artificial Intelligence (AI), Real Estate, Software"
Starcloud,"Science and Engineering, Transportation"
Operand,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Clara,Health Care
Alice tech,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Proception,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software"
Arini,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Pulse_1,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Datacurve,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software"
telli,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Sales and Marketing, Science and Engineering, Software"
RetailReady,"Apps, Software, Transportation"
AthenaHQ,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Sales and Marketing, Science and Engineering, Software"
Gale,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Coval,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Pipeshift,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software"
Octolane AI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software"
Taxo,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Focal_1,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Science and Engineering, Software"
Bifrost Orbital,Hardware
Just Words,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Sales and Marketing, Science and Engineering, Software"
Artificial Societies,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software"
Crustdata,Software
And AI,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software"
Asha Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Giga ML,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Corgi,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
OpenFunnel,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Hamming AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
ClaimSorted,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Science and Engineering, Software"
Sonnet,"Artificial Intelligence (AI), Data and Analytics, Health Care, Other, Professional Services, Sales and Marketing, Science and Engineering, Software"
K-Scale Labs,"Data and Analytics, Design, Hardware, Manufacturing, Science and Engineering, Software"
Theseus,"Consumer Electronics, Consumer Goods, Government and Military, Hardware, Information Technology, Navigation and Mapping, Software"
Mastra,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
OmniAI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Ocular AI,"Apps, Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Other, Science and Engineering, Software"
Polymet,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software"
SimCare AI,"Artificial Intelligence (AI), Data and Analytics, Education, Health Care, Science and Engineering, Software"
Reforged Labs,"Advertising, Artificial Intelligence (AI), Data and Analytics, Gaming, Sales and Marketing, Science and Engineering, Software"
Axiom,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other"
Kabilah,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Merlin AI,"Information Technology, Professional Services, Software"
PearAI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Parley,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software"
Piramidal,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software"
Tabular,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software"
Ares Industries,Manufacturing
Parahelp,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software"
Anthrogen,"Biotechnology, Science and Engineering, Sustainability"
Weave Robotics,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software"
Tile,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software"
Amber AI,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
AfterQuery,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
marblism,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
careCycle,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Hardware, Science and Engineering, Software"
Guardian RF,"Consumer Electronics, Consumer Goods, Hardware, Manufacturing, Privacy and Security"
BiteSight,"Administrative Services, Food and Beverage, Software, Transportation"
Harper,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
Inversion Semiconductor,"Hardware, Manufacturing, Science and Engineering"
FutureClinic,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software"
Silurian AI,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software"
PAX Markets,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Financial Services, Science and Engineering, Software"
Helpcare AI,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Optifye.ai,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software"
Sandra AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation"
Variant,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
CommodityAI,"Financial Services, Lending and Investments, Other, Software, Transportation"
Pax AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Lopus AI,"Artificial Intelligence (AI), Data and Analytics, Design, Internet Services, Media and Entertainment, Other, Sales and Marketing, Science and Engineering, Software"
FuseAI,"Artificial Intelligence (AI), Data and Analytics, Other, Sales and Marketing, Science and Engineering, Software"
Fira,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
Cekura AI,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Revyl,"Commerce and Shopping, Financial Services, Software"
Vetnio,Health Care
Mentra,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software"
Gander,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software"
Scrapybara,"Other, Software"
Osmosis AI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software"
Brainbase,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Other, Science and Engineering, Software"
Onlook,"Information Technology, Internet Services, Other"
Paratus Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Kura,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software"
Hestus,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Ligo Biosciences,"Biotechnology, Data and Analytics, Science and Engineering"
CrowdVolt,"Commerce and Shopping, Internet Services, Media and Entertainment"
CollectWise,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software"
Remo,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Science and Engineering, Software"
Abundant,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Tergle,"Other, Professional Services, Software"
Surge,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software"
Moreta,"Financial Services, Mobile, Payments, Software"
Blume Benefits,"Financial Services, Other"
Raycaster,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Sales and Marketing, Science and Engineering, Software"
Woz,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Mercura,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Soff,"Manufacturing, Other, Transportation"
Hazel,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Sales and Marketing, Science and Engineering, Software"
Saphira AI,"Hardware, Professional Services, Software"
ZeroEntropy,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Clearly AI,"Artificial Intelligence (AI), Data and Analytics, Privacy and Security, Science and Engineering, Software"
Miru,"Hardware, Internet Services, Science and Engineering, Software"
Ember Copilot,"Health Care, Information Technology, Software"
Thyme,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software"
Enhanced Radar,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software, Transportation"
Leeroo,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
ArchiLabs,"Artificial Intelligence (AI), Data and Analytics, Other, Real Estate, Science and Engineering, Software"
Friday,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Science and Engineering, Software"
Tivara,"Artificial Intelligence (AI), Data and Analytics, Health Care, Other, Science and Engineering, Software"
Kairo Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Outlit,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Cekura,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
RetroFix AI,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
Vendra,"Hardware, Manufacturing, Other, Science and Engineering, Software"
Pearson Labs,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software"
assistant-ui,"Apps, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Sepal AI,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software"
Bindwell,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Educato AI,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software"
Dodo,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Encore,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Other, Professional Services, Science and Engineering, Software"
Exa Laboratories,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software"
Scout,"Education, Software"
Sensei Robotics,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software"
Innate,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software"
Outerport,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
1849 Bio,"Biotechnology, Natural Resources, Science and Engineering"
Mosaic,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software, Video"
Basepilot,"Information Technology, Internet Services"
AminoAnalytica,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Science and Engineering, Software"
Durate,"Health Care, Information Technology, Other, Software"
YouShift,"Health Care, Software"
Parity,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Revise Robotics,"Artificial Intelligence (AI), Consumer Electronics, Hardware, Manufacturing, Science and Engineering, Software"
Void,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Metreecs,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Science and Engineering, Software"
Bild AI,"Hardware, Information Technology, Internet Services, Real Estate, Software"
Freestyle,"Apps, Science and Engineering, Software"
MathDash,"Education, Gaming, Other, Software"
Lumina_1,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Dexter,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Benchify,"Data and Analytics, Information Technology, Software"
Ångström AI,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Science and Engineering, Software"
Reprompt,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Manufacturing, Other, Science and Engineering, Software"
Midship,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Ergo,"Artificial Intelligence (AI), Data and Analytics, Other, Sales and Marketing, Science and Engineering, Software"
Protegee,"Financial Services, Information Technology, Payments, Professional Services"
Canvas AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Riviera,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Travel and Tourism"
Dollyglot,"Artificial Intelligence (AI), Information Technology, Media and Entertainment, Video"
Vora AI,"Administrative Services, Artificial Intelligence (AI), Other"
Codes Health,Health Care
Closure,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software"
Seals,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
RiskCube,"Financial Services, Other, Software"
Waypoint Transit,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software, Transportation"
Remade,"Artificial Intelligence (AI), Media and Entertainment, Other, Sales and Marketing, Software"
Delineate,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Science and Engineering, Software"
Felafax AI,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Other, Science and Engineering, Software"
Promptless,"Artificial Intelligence (AI), Software"
Laminar,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Fabricate,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Other, Science and Engineering, Software"
Asteroid,"Artificial Intelligence (AI), Software"
Fresco,"Information Technology, Real Estate, Software"
Karmen,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software"
Guardian AI,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Syntra,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Cenote,"Artificial Intelligence (AI), Data and Analytics, Hardware, Health Care, Other, Science and Engineering, Software"
Ultra.tech,"Hardware, Information Technology, Science and Engineering, Software, Transportation"
Bramble,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software"
Vovana,"Other, Professional Services, Software"
Platus,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software"
Reticular,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software"
Lucite,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
Rewbi,"Artificial Intelligence (AI), Data and Analytics, Energy, Science and Engineering, Software, Sustainability"
General Agency,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software"
Truffle AI,"Artificial Intelligence (AI), Other, Software"
Permitify,"Artificial Intelligence (AI), Real Estate, Software"
Exin Therapeutics,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software"
Stack Auth,"Consumer Electronics, Data and Analytics, Hardware, Software"
Bucket Robotics,"Hardware, Manufacturing, Science and Engineering, Software"
Tiny,Software
Synth AI,"Artificial Intelligence (AI), Data and Analytics, Hardware, Other, Science and Engineering, Software"
Finosu,"Financial Services, Other"
TradeFlow,"Financial Services, Other, Software"
Comfy Deploy,"Artificial Intelligence (AI), Software"
Weave,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
RowBoat Labs,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Olive Legal,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software"
Stamp,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Camfer,"Artificial Intelligence (AI), Design, Hardware, Software"
Haplotype Labs,"Health Care, Software"
Sophris,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Other, Science and Engineering, Software"
Overstand Labs,"Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software"
Adam,"Artificial Intelligence (AI), Hardware, Software"
Manaflow,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Melder,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation"
Palmier,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Stormy,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Focus Buddy,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software"
Regatta Storage,"Data and Analytics, Internet Services, Other, Software"
Manifold Freight,Transportation
Propaya,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software"
Forerunner,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software"
Fix AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Splash,"Hardware, Science and Engineering, Software, Transportation"
Sunset,"Financial Services, Other, Professional Services"
Lucid,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
OddsView,"Other, Sports"
Affil.ai,"Advertising, Artificial Intelligence (AI), Data and Analytics, Financial Services, Sales and Marketing, Science and Engineering, Software"
G LNK,"Artificial Intelligence (AI), Data and Analytics, Health Care, Other, Science and Engineering, Software"
Oma Care,"Education, Health Care"
Melty,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Codebuff,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Zenbase AI,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
ISSEN,"Artificial Intelligence (AI), Education, Software"
Proxis,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software"
edgetrace,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software"
Cerulion,"Hardware, Other, Science and Engineering, Software"
SAMMY Labs,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Formula Insight,"Financial Services, Software"
Rada,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Hardware, Health Care, Information Technology, Science and Engineering, Software"
Ply Health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Promi,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Software"
Ficra,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Maritime Fusion,"Energy, Science and Engineering"
Casixty,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Andoria,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
fixa,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Admyral Technologies,Real Estate
Terra,"Consumer Goods, Manufacturing, Transportation"
Redouble AI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Dimely,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Payments, Professional Services, Science and Engineering, Software"
Retrofit,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design"
AutoPallet Robotics,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation"
Symphony,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
Mineflow,"Artificial Intelligence (AI), Data and Analytics, Natural Resources, Science and Engineering, Software"
HealthSpark,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Guse,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software"
OpenFoundry,"Internet Services, Software"
Summed AI,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Science and Engineering, Software"
Augento,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software"
Willow,Health Care
Lune AI,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Kopra Bio,"Biotechnology, Health Care, Science and Engineering"
DreamRP,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software"
Aviary,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software, Video"
AI Sell,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Science and Engineering, Software"
OneGrep,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Lumenary,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software"
Uncommon Therapeutics,"Biotechnology, Health Care, Science and Engineering"
Artifact_1,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software"
Dartboard Energy,"Data and Analytics, Energy, Other"
Simplifine,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software"
Aditto,"Advertising, Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software"
